VM_Number,RAMUsage
0,21.7
1,23.6
2,24.8
3,25.8
4,27.1
5,28.2
6,29.7
7,31.0
8,32.3
9,33.6
10,35.0
11,36.3
12,37.6
13,38.9
14,40.2
15,41.5
16,42.6
17,44.0
18,45.2
19,46.6
20,48.0
21,49.3
22,50.7
23,52.0
24,53.3
25,54.7
26,56.0
27,57.4
28,58.7
29,60.0
30,61.4
31,62.7
32,64.1
33,65.4
34,66.8
35,68.1
36,69.5
37,70.8
38,72.2
39,73.5
40,74.9
41,76.3
42,77.6
43,79.1
44,80.4
45,81.7
46,83.1
47,84.4
48,85.8
49,87.0
50,88.4
51,89.8
52,91.2
53,92.3
54,93.7
55,95.0
