VM_Number,CPUUsage
0,0.0
1,38.6
2,33.6
3,42.8
4,39.4
5,37.7
6,28.5
7,36.3
8,37.1
9,33.1
10,33.8
11,37.6
12,33.8
13,33.1
14,32.9
15,31.0
16,25.2
17,29.9
18,35.4
19,32.7
20,33.3
21,33.8
22,39.0
