VM_Number,CPUUsage
0,0.0
1,38.4
2,38.1
3,37.9
4,35.1
5,35.1
6,37.7
7,38.1
8,20.5
9,18.2
10,33.3
11,35.9
12,36.1
13,35.5
14,34.0
15,32.7
16,25.3
17,35.3
18,42.0
19,32.0
20,32.9
21,34.0
22,40.7
23,34.2
