VM_Number,CPUUsage
0,0.0
1,31.5
2,17.9
3,24.6
4,28.4
5,29.9
6,27.9
7,36.6
8,31.2
9,34.9
10,33.1
11,37.9
12,40.4
13,37.5
14,41.1
15,37.0
16,36.5
17,36.1
18,36.6
19,36.3
20,41.1
21,40.6
22,37.8
23,41.2
