VM_Number,CPUUsage
0,0.5
1,28.7
2,30.1
3,30.8
4,33.6
5,36.3
6,32.0
7,17.8
8,32.9
9,18.5
10,32.4
11,38.9
12,32.9
13,35.1
14,32.4
15,36.9
16,32.7
17,36.3
18,35.5
19,31.3
20,21.8
21,26.0
22,42.9
23,34.8
