VM_Number,RAMUsage
0,37.6
1,41.1
2,43.6
3,46.0
4,48.6
5,51.2
6,53.8
7,56.4
8,58.8
9,61.7
10,64.3
11,67.0
12,69.6
13,72.2
14,75.0
15,77.6
16,80.1
17,82.7
18,85.2
19,87.9
20,90.4
21,92.8
22,95.4
