VM_Number,CPUUsage
0,0.0
1,32.2
2,31.7
3,32.0
4,20.9
5,32.2
6,34.0
7,33.6
8,32.4
9,32.7
10,31.5
11,26.1
12,34.2
13,19.7
14,34.9
15,25.6
16,34.4
17,37.1
18,24.0
19,40.0
20,37.9
21,36.5
22,35.2
23,39.3
24,40.5
25,38.4
26,33.3
27,41.5
28,35.9
29,39.8
30,19.1
31,36.9
32,32.1
33,35.3
34,37.2
35,35.3
36,21.7
37,25.4
38,38.1
39,39.5
40,26.7
41,41.7
42,38.3
43,35.1
44,33.8
45,35.4
46,41.0
47,25.3
48,34.8
49,40.0
50,38.3
51,37.7
52,42.9
53,42.0
54,43.3
55,38.5
56,37.7
