VM_Number,RAMUsage
0,21.7
1,23.6
2,24.7
3,26.0
4,27.4
5,28.3
6,29.6
7,30.9
8,32.2
9,33.5
10,34.9
11,36.2
12,37.5
13,38.8
14,40.2
15,41.5
16,42.8
17,44.2
18,45.5
19,46.9
20,48.2
21,49.6
22,50.9
23,52.3
24,53.7
25,55.0
26,56.4
27,57.8
28,59.1
29,60.5
30,61.8
31,63.2
32,64.2
33,65.7
34,67.1
35,68.5
36,69.8
37,71.1
38,72.5
39,73.9
40,75.2
41,76.7
42,78.0
43,79.4
44,80.8
45,82.1
46,83.4
47,84.9
48,86.2
49,87.6
50,89.1
51,90.2
52,91.6
53,92.7
54,94.0
55,95.3
