VM_Number,RAMUsage
0,21.8
1,23.4
2,24.7
3,26.0
4,27.3
5,28.6
6,29.9
7,31.0
8,32.3
9,33.6
10,34.9
11,36.2
12,37.6
13,38.9
14,40.1
15,41.4
16,42.7
17,44.1
18,45.4
19,46.8
20,48.1
21,49.4
22,50.8
23,52.1
24,53.3
25,54.8
26,56.1
27,57.5
28,58.8
29,60.2
30,61.5
31,62.8
32,64.2
33,65.5
34,66.9
35,68.1
36,69.6
37,70.9
38,72.3
39,73.7
40,75.0
41,76.4
42,77.7
43,79.1
44,80.4
45,81.7
46,83.1
47,84.4
48,85.8
49,87.1
50,88.5
51,89.9
52,91.1
53,92.3
54,93.6
55,94.9
56,96.1
