VM_Number,RAMUsage
0,21.7
1,23.6
2,24.9
3,26.2
4,27.5
5,28.8
6,29.9
7,31.1
8,32.5
9,33.8
10,35.1
11,36.4
12,37.7
13,39.0
14,40.4
15,41.7
16,43.0
17,44.0
18,45.3
19,46.7
20,48.0
21,49.3
22,50.6
23,52.0
24,53.4
25,54.5
26,56.0
27,57.4
28,58.7
29,60.1
30,61.4
31,62.8
32,64.1
33,65.4
34,66.8
35,68.1
36,69.5
37,70.8
38,72.2
39,73.7
40,75.1
41,76.4
42,77.8
43,79.3
44,80.6
45,82.0
46,83.2
47,84.5
48,85.9
49,87.1
50,88.5
51,89.9
52,91.2
53,92.3
54,93.5
55,94.8
56,96.1
