VM_Number,RAMUsage
0,37.6
1,41.2
2,43.8
3,46.3
4,48.8
5,51.3
6,54.0
7,56.6
8,59.2
9,61.9
10,63.4
11,66.0
12,68.6
13,71.3
14,73.9
15,76.6
16,79.2
17,81.8
18,84.5
19,86.9
20,89.5
21,92.1
22,94.7
23,96.3
