VM_Number,RAMUsage
0,35.6
1,39.1
2,41.7
3,44.2
4,46.8
5,49.1
6,51.8
7,54.5
8,57.1
9,59.7
10,62.3
11,65.1
12,67.7
13,70.4
14,73.1
15,75.8
16,78.5
17,81.0
18,83.7
19,86.0
20,88.8
21,91.2
22,94.3
23,96.3
