VM_Number,RAMUsage
0,36.7
1,40.1
2,42.8
3,45.4
4,48.0
5,50.6
6,53.2
7,55.8
8,58.4
9,61.1
10,63.7
11,66.4
12,69.0
13,71.7
14,74.4
15,77.0
16,79.7
17,82.2
18,85.0
19,87.5
20,89.9
21,92.6
22,95.2
