VM_Number,RAMUsage
0,35.0
1,38.4
2,40.9
3,43.4
4,45.9
5,48.5
6,51.2
7,53.8
8,56.4
9,59.1
10,61.8
11,64.5
12,67.1
13,69.9
14,72.6
15,75.3
16,77.9
17,80.6
18,83.4
19,85.9
20,88.6
21,90.9
22,93.5
23,95.9
