VM_Number,RAMUsage
0,35.3
1,38.6
2,41.0
3,43.6
4,46.2
5,48.8
6,51.5
7,54.1
8,56.7
9,59.4
10,62.0
11,64.7
12,67.3
13,70.0
14,72.6
15,75.3
16,77.9
17,80.3
18,83.0
19,86.2
20,88.7
21,91.0
22,93.7
23,95.7
