VM_Number,RAMUsage
0,33.6
1,37.1
2,39.8
3,42.6
4,44.7
5,47.6
6,50.4
7,53.1
8,55.8
9,58.5
10,61.1
11,63.8
12,66.4
13,69.2
14,72.0
15,74.7
16,77.4
17,80.3
18,82.9
19,85.4
20,87.9
21,90.3
22,92.8
23,95.2
