VM_Number,RAMUsage_Mean,RAMUsage_StdDev
0,36.27,1.39
1,39.74,1.43
2,42.29,1.41
3,44.82,1.33
4,47.3,1.4
5,49.9,1.36
6,52.53,1.3
7,55.15,1.28
8,57.73,1.26
9,60.42,1.27
10,62.93,1.16
11,65.61,1.15
12,68.22,1.15
13,70.9,1.07
14,73.58,1.08
15,76.24,1.04
16,78.86,1.01
17,81.45,0.96
18,84.14,0.97
19,86.77,0.9
20,89.31,0.86
21,91.76,0.93
22,94.37,0.86
23,95.97,0.41
