VM_Number,RAMUsage
0,38.1
1,41.6
2,44.1
3,46.6
4,49.0
5,51.7
6,54.3
7,56.9
8,59.6
9,62.2
10,64.8
11,67.5
12,70.1
13,72.6
14,75.3
15,77.9
16,80.5
17,83.0
18,85.8
19,88.1
20,90.7
21,93.2
22,95.4
