VM_Number,CPUUsage_Mean,CPUUsage_StdDev
0,0.55,0.72
1,36.23,5.3
2,29.22,6.5
3,33.89,5.59
4,33.41,4.93
5,31.22,7.12
6,33.85,7.04
7,33.5,6.24
8,34.3,5.97
9,33.88,9.0
10,32.66,3.87
11,34.66,3.69
12,34.01,3.07
13,33.92,7.01
14,34.0,3.61
15,34.55,6.25
16,32.15,7.4
17,33.64,6.47
18,36.36,7.28
19,35.91,5.28
20,32.81,6.08
21,37.47,6.71
22,39.23,2.96
23,36.97,3.3
