VM_Number,CPUUsage
0,1.0
1,47.5
2,20.8
3,38.4
4,32.0
5,21.7
6,41.2
7,36.1
8,33.8
9,43.5
10,26.9
11,37.0
12,33.8
13,32.9
14,34.0
15,19.1
16,40.1
17,40.7
18,39.6
19,38.7
20,32.2
21,52.3
22,34.7
23,41.5
