VM_Number,CPUUsage
0,0.0
1,33.1
2,31.0
3,36.3
4,33.3
5,36.1
6,38.7
7,37.9
8,40.5
9,38.7
10,27.3
11,30.8
12,34.0
13,32.2
14,34.2
15,34.6
16,29.6
17,34.6
18,43.2
19,30.8
20,35.1
21,39.4
22,34.3
