VM_Number,CPUUsage
0,0.5
1,32.2
2,33.1
3,30.9
4,38.4
5,17.2
6,33.1
7,30.6
8,32.0
9,35.7
10,30.1
11,27.7
12,32.1
13,32.4
14,33.1
15,35.1
16,19.1
17,34.4
18,17.1
19,32.6
20,42.1
21,34.8
22,40.8
