VM_Number,ResponseTime_Mean,ResponseTime_StdDev
0,0.0,0.0
1,2.65,0.08
2,2.37,0.02
3,2.36,0.03
4,2.36,0.04
5,2.39,0.03
6,2.44,0.2
7,2.45,0.21
8,2.47,0.23
9,2.49,0.32
10,2.54,0.43
11,2.47,0.21
12,2.45,0.2
13,2.49,0.24
14,2.46,0.22
15,2.49,0.23
16,2.49,0.23
17,2.48,0.2
18,2.53,0.26
19,2.57,0.23
20,2.6,0.19
21,2.71,0.18
22,2.95,0.17
23,3.35,0.23
