VM_Number,ResponseTime_Mean,ResponseTime_StdDev
0,0.0,0.0
1,111.5,17.9
2,105.19,12.71
3,112.71,28.02
4,100.96,6.28
5,108.52,18.83
6,119.87,37.49
7,124.47,34.18
8,101.5,5.62
9,113.84,19.4
10,100.28,3.31
11,125.66,25.24
