VM_Number,RAMUsage_Mean,RAMUsage_StdDev
0,15.87,2.51
1,23.14,2.53
2,30.33,2.51
3,37.44,2.39
4,44.54,2.34
5,51.99,2.71
6,58.63,2.74
7,65.72,2.76
8,72.94,2.78
9,80.33,2.67
10,86.87,2.07
11,92.2,1.0
