VM_Number,CPUUsage_Mean,CPUUsage_StdDev
0,1.13,0.7
1,2.55,0.53
2,2.51,0.62
3,2.52,0.73
4,2.73,0.5
5,2.86,0.37
6,2.56,0.64
7,3.3,0.59
8,3.12,0.64
9,3.01,0.62
10,3.6,0.91
11,3.49,0.32
