VM_Number,CPUUsage
0,0.5
1,41.5
2,38.9
3,36.5
4,36.7
5,37.3
6,35.3
7,35.7
8,27.7
9,38.4
10,39.0
11,31.0
12,32.0
13,33.3
14,34.9
15,42.5
16,35.7
17,32.9
18,27.4
19,35.7
20,35.5
21,35.8
22,24.0
23,25.9
24,32.9
25,31.8
26,26.2
27,33.6
28,34.4
29,23.3
30,32.4
31,31.0
32,38.3
33,33.1
34,33.6
35,39.5
36,49.7
37,37.3
38,37.9
39,35.6
40,36.1
41,37.7
42,36.1
43,27.3
44,45.7
45,41.1
46,38.1
47,39.6
48,40.0
49,35.1
50,44.6
51,15.3
52,51.4
53,36.5
54,29.6
55,36.8
56,39.0
