VM_Number,CPUUsage
0,0.0
1,32.7
2,36.3
3,34.0
4,35.3
5,32.9
6,34.6
7,31.8
8,36.7
9,33.3
10,32.2
11,30.4
12,35.5
13,36.9
14,19.9
15,40.9
16,40.5
17,36.9
18,39.8
19,37.3
20,32.9
21,33.1
22,32.2
23,35.7
24,35.7
25,36.1
26,34.6
27,34.9
28,38.9
29,31.8
30,27.5
31,33.3
32,33.3
33,32.0
34,31.0
35,34.6
36,38.5
37,26.2
38,28.5
39,35.3
40,36.4
41,35.1
42,20.0
43,38.2
44,37.3
45,39.5
46,37.7
47,39.5
48,34.5
49,41.5
50,27.7
51,39.6
52,36.4
53,35.5
54,40.2
55,40.5
56,38.6
