VM_Number,CPUUsage
0,0.0
1,30.3
2,31.0
3,35.1
4,32.7
5,31.7
6,37.3
7,26.5
8,31.7
9,23.0
10,32.7
11,35.5
12,33.8
13,30.9
14,35.1
15,35.3
16,40.4
17,31.0
18,37.7
19,31.7
20,37.9
21,32.7
22,26.3
23,31.8
24,34.2
25,36.4
26,35.5
27,35.7
28,23.5
29,35.0
30,38.8
31,35.9
32,23.1
33,36.9
34,14.6
35,32.9
36,33.6
37,34.4
38,29.0
39,33.3
40,37.5
41,41.4
42,34.2
43,37.2
44,38.9
45,41.1
46,42.4
47,27.9
48,41.7
49,38.8
50,33.8
51,31.2
52,37.3
53,38.7
54,35.6
55,40.3
56,41.2
