VM_Number,CPUUsage
0,0.0
1,32.2
2,28.3
3,35.9
4,31.7
5,36.9
6,42.6
7,38.7
8,39.9
9,36.7
10,35.8
11,39.4
12,39.3
13,21.7
14,35.8
15,25.5
16,34.4
17,34.9
18,36.4
19,36.5
20,37.5
21,39.6
22,39.3
23,35.7
24,39.9
25,36.1
26,24.7
27,34.3
28,39.4
29,34.4
30,24.0
31,39.6
32,38.9
33,21.8
34,28.3
35,41.8
36,31.1
37,42.2
38,22.1
39,21.2
40,36.9
41,39.3
42,33.3
43,37.8
44,37.3
45,41.1
46,25.0
47,34.8
48,37.2
49,41.5
50,28.8
51,38.2
52,41.0
53,39.0
54,38.8
55,40.9
